,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
15,PB230915C00065000,2023-03-16 14:52:50+00:00,65.0,6.1,0.0,0.0,0.0,0.0,5.0,0.0,3.12596875,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,0.0,161.96406716467592,4.990000000000002,0.0,8.315280786535581,0.0062548622656763316,99.99374513773432,0.0,
16,PB230915C00070000,2023-04-04 14:51:29+00:00,70.0,1.8,0.0,0.0,0.0,0.0,8.0,0.0,6.250937500000001,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,0.0,161.96406716467592,9.990000000000002,0.0,16.647225462422934,0.010864987558877898,99.98913501244112,0.0,
17,PB230915C00075000,2023-02-02 14:51:26+00:00,75.0,6.6,1.95,6.0,0.0,0.0,,5.0,54.16305603027345,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,4.9875,161.96406716467592,14.990000000000002,18.729814336520622,24.979170138310288,26.828516945532588,73.17148305446742,8.311114814197634,67.5
18,PB230915C00080000,2023-02-02 14:51:26+00:00,80.0,3.97,0.65,4.9,0.0,0.0,,5.0,52.19774365234374,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,3.8375,161.96406716467592,19.990000000000002,14.411160404290303,33.31111481419764,20.415037163259655,79.58496283674035,6.394767538743543,86.73469387755101
19,PB230915C00090000,2023-02-03 16:19:20+00:00,90.0,1.05,0.0,1.7,0.0,0.0,20.0,20.0,53.71140039062501,REGULAR,USD,call,PB,60.01,2023-04-06 00:51:44.596972,,20230915,2023-09-15,1.275,161.96406716467592,29.990000000000002,4.788072837907527,49.97500416597234,12.86533286509765,87.13466713490234,2.1246458923512748,100.0
20,PB230421P00035000,2023-03-28 15:42:07+00:00,35.0,0.38,0.0,0.0,0.0,0.0,,0.0,50.0005,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,25.009999999999998,0.0,41.67638726878854,99.99999496861686,99.99999496861686,0.0,
21,PB230421P00040000,2023-03-28 15:42:08+00:00,40.0,0.05,0.0,0.0,0.0,0.0,8.0,0.0,50.0005,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,20.009999999999998,0.0,33.34444259290118,99.99692043537746,99.99692043537746,0.0,
22,PB230421P00045000,2023-03-28 14:18:24+00:00,45.0,0.48,0.0,0.0,0.0,0.0,1.0,0.0,25.00075,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,15.009999999999998,0.0,25.012497917013828,99.9999993510485,99.9999993510485,0.0,
23,PB230421P00050000,2023-04-05 19:12:36+00:00,50.0,0.51,0.0,0.0,0.0,0.0,11.0,0.0,25.00075,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,10.009999999999998,0.0,16.680553241126475,99.98439141156064,99.98439141156064,0.0,
24,PB230421P00055000,2023-04-04 19:39:44+00:00,55.0,1.15,0.0,0.0,0.0,0.0,1.0,0.0,12.500875,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,5.009999999999998,0.0,8.348608565239124,99.97136230850724,99.97136230850724,0.0,
25,PB230421P00060000,2023-04-03 14:04:13+00:00,60.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.196310546875,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,0.00999999999999801,0.0,0.01666388935177139,66.24894432345769,66.24894432345769,0.0,
26,PB230421P00065000,2023-04-03 19:40:22+00:00,65.0,4.7,0.0,0.0,0.0,0.0,28.0,0.0,0.0010000000000000002,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,-4.990000000000002,0.0,-8.315280786535581,0.0,0.0,0.0,
27,PB230421P00070000,2023-03-08 20:42:58+00:00,70.0,2.15,0.0,0.0,0.0,0.0,,0.0,0.0010000000000000002,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,-9.990000000000002,0.0,-16.647225462422934,0.0,0.0,0.0,
28,PB230421P00075000,2023-03-20 14:45:26+00:00,75.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0010000000000000002,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230421,2023-04-21,0.0,14.964067164675926,-14.990000000000002,0.0,-24.979170138310288,0.0,0.0,0.0,
29,PB230519P00040000,2023-04-03 19:54:36+00:00,40.0,0.41,0.0,0.0,0.0,0.0,1.0,0.0,25.00075,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230519,2023-05-19,0.0,42.964067164675924,20.009999999999998,0.0,33.34444259290118,99.99988720601442,99.99988720601442,0.0,
30,PB230519P00045000,2023-03-30 17:24:21+00:00,45.0,1.56,0.0,0.0,0.0,0.0,,0.0,25.00075,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230519,2023-05-19,0.0,42.964067164675924,15.009999999999998,0.0,25.012497917013828,99.96044199670301,99.96044199670301,0.0,
31,PB230519P00050000,2023-04-04 15:10:37+00:00,50.0,1.6,0.0,0.0,0.0,0.0,37.0,0.0,12.500875,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230519,2023-05-19,0.0,42.964067164675924,10.009999999999998,0.0,16.680553241126475,99.99895423176491,99.99895423176491,0.0,
32,PB230519P00055000,2023-04-05 16:48:37+00:00,55.0,2.2,0.0,0.0,0.0,0.0,26.0,0.0,6.250937500000001,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230519,2023-05-19,0.0,42.964067164675924,5.009999999999998,0.0,8.348608565239124,99.99759790284698,99.99759790284698,0.0,
33,PB230519P00060000,2023-04-05 16:21:59+00:00,60.0,3.9,0.0,0.0,0.0,0.0,1.0,0.0,0.196310546875,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230519,2023-05-19,0.0,42.964067164675924,0.00999999999999801,0.0,0.01666388935177139,59.77145435140178,59.77145435140178,0.0,
34,PB230519P00065000,2023-03-27 16:45:17+00:00,65.0,5.2,0.0,0.0,0.0,0.0,15.0,0.0,0.0010000000000000002,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230519,2023-05-19,0.0,42.964067164675924,-4.990000000000002,0.0,-8.315280786535581,0.0,0.0,0.0,
35,PB230616P00035000,2023-03-20 14:33:42+00:00,35.0,0.55,0.0,0.0,0.0,0.0,,0.0,25.00075,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,0.0,70.96406716467592,25.009999999999998,0.0,41.67638726878854,99.99994982800919,99.99994982800919,0.0,
36,PB230616P00040000,2023-03-30 17:25:32+00:00,40.0,0.5,0.0,0.0,0.0,0.0,5.0,0.0,25.00075,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,0.0,70.96406716467592,20.009999999999998,0.0,33.34444259290118,99.98832212578992,99.98832212578992,0.0,
37,PB230616P00045000,2023-03-30 17:24:21+00:00,45.0,1.65,0.0,0.0,0.0,0.0,,0.0,12.500875,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,0.0,70.96406716467592,15.009999999999998,0.0,25.012497917013828,99.99999115811788,99.99999115811788,0.0,
38,PB230616P00050000,2023-03-30 13:31:48+00:00,50.0,0.05,0.0,0.0,0.0,0.0,2.0,0.0,12.500875,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,0.0,70.96406716467592,10.009999999999998,0.0,16.680553241126475,99.95347075973889,99.95347075973889,0.0,
39,PB230616P00055000,2023-04-04 19:04:14+00:00,55.0,2.55,0.0,0.0,0.0,0.0,557.0,0.0,6.250937500000001,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,0.0,70.96406716467592,5.009999999999998,0.0,8.348608565239124,99.92190407340804,99.92190407340804,0.0,
40,PB230616P00060000,2023-03-30 19:48:03+00:00,60.0,4.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0986552734375,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,0.0,70.96406716467592,0.00999999999999801,0.0,0.01666388935177139,64.9179573296842,64.9179573296842,0.0,
41,PB230616P00065000,2023-03-14 13:30:08+00:00,65.0,5.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0010000000000000002,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,0.0,70.96406716467592,-4.990000000000002,0.0,-8.315280786535581,0.0,0.0,0.0,
42,PB230616P00070000,2023-03-02 20:04:22+00:00,70.0,3.2,8.8,10.6,0.0,0.0,10.0,64.0,32.15399877929687,REGULAR,USD,put,PB,60.01,2023-04-06 00:51:44.596972,,20230616,2023-06-16,10.15,70.96406716467592,-9.990000000000002,86.9954986271104,-16.647225462422934,13.871845387572723,13.871845387572723,16.913847692051327,16.981132075471688
