,strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee,BidAskSpread,Select
751,355.0,50.79394909667969,put,MDB,375.43,,2023-06-30,8.287500000000001,15.244763469247685,20.430000000000007,52.8526469015516,5.441760115068057,70.50644480397786,2.207468769144714,12.280701754385973,False
801,350.0,49.982189636230466,put,MDB,375.43,,2023-07-07,8.55,22.244763469247687,25.430000000000007,37.3682029979525,6.773566310630479,71.51280886987209,2.2773885944117414,9.14285714285714,False
839,340.0,50.470466003417954,put,MDB,375.43,,2023-07-14,8.2625,29.244763469247687,35.43000000000001,27.46801338556299,9.437178701755323,75.61163086300107,2.2008097381669014,11.176470588235295,False
840,345.0,50.03101727294923,put,MDB,375.43,,2023-07-14,9.6,29.244763469247687,30.430000000000007,31.914424024375762,8.105372506192902,72.47037944697192,2.55706789547985,10.152284263959391,False
876,340.0,50.171396728515624,put,MDB,375.43,,2023-07-21,9.6,36.24476346924769,35.43000000000001,25.75074831546467,9.437178701755323,73.46654037806455,2.55706789547985,6.153846153846151,False
891,330.0,53.375710388183585,put,MDB,375.43,,2023-07-28,10.0625,43.24476346924769,45.43000000000001,22.622274006042574,12.100791092880167,75.86700846154666,2.6802599685693735,11.111111111111114,False
892,335.0,52.905744384765626,put,MDB,375.43,,2023-07-28,11.375,43.24476346924769,40.43000000000001,25.573005398135084,10.768984897317745,73.42406515131408,3.029859094904509,11.111111111111102,False
893,340.0,52.335071380615226,put,MDB,375.43,,2023-07-28,12.75,43.24476346924769,35.43000000000001,28.664247808898665,9.437178701755323,70.89330860298733,3.3961057986841756,10.687022900763361,False
4389,8.5,53.51608984375,put,MPW,9.09,2/1/2023 5:30,2023-06-30,0.19,15.244619619594907,0.5899999999999999,50.04561029837856,6.490649064906489,73.02590030759775,2.09020902090209,20.000000000000004,False
4403,8.5,50.97705273437501,put,MPW,9.09,2/1/2023 5:30,2023-07-07,0.23249999999999998,22.244619619594907,0.5899999999999999,41.96883893952644,6.490649064906489,70.30729064848175,2.557755775577558,12.5,False
4415,8.0,56.836369140624996,put,MPW,9.09,2/1/2023 5:30,2023-07-14,0.19,29.244619619594907,1.0899999999999999,26.08774887665408,11.99119911991199,78.63921591507398,2.09020902090209,20.000000000000004,False
4425,8.0,57.812921875,put,MPW,9.09,2/1/2023 5:30,2023-07-21,0.2425,36.24461961959491,1.0899999999999999,26.865639195753044,11.99119911991199,75.83918498097893,2.667766776677668,12.0,False
4443,8.0,56.836369140624996,put,MPW,9.09,2/1/2023 5:30,2023-07-28,0.29,43.24461961959491,1.0899999999999999,26.927429513497767,11.99119911991199,74.30953224251303,3.19031903190319,25.806451612903224,False
5308,222.5,70.59355578613282,put,SMCI,248.8,,2023-06-30,5.2250000000000005,15.24449918005787,26.30000000000001,50.28235639506939,10.570739549839232,78.06524148898211,2.10008038585209,12.962962962962965,False
5309,225.0,69.73907214355471,put,SMCI,248.8,,2023-06-30,5.75,15.24449918005787,23.80000000000001,55.33465057830602,9.56591639871383,75.9747526458284,2.3110932475884245,10.169491525423737,False
5310,227.5,69.47052014160158,put,SMCI,248.8,,2023-06-30,6.449999999999999,15.24449918005787,21.30000000000001,62.07104282262152,8.561093247588428,73.57796868096872,2.5924437299035366,9.090909090909086,False
5311,230.0,69.42169250488281,put,SMCI,248.8,,2023-06-30,7.3,15.24449918005787,18.80000000000001,70.25094769071895,7.5562700964630265,71.01415872302636,2.9340836012861735,10.666666666666664,False
5352,217.5,66.46762048339845,put,SMCI,248.8,,2023-07-07,5.2250000000000005,22.244499180057872,31.30000000000001,34.459276184702965,12.580385852090036,79.37162983253015,2.10008038585209,12.962962962962965,False
5353,220.0,66.21127539062502,put,SMCI,248.8,,2023-07-07,5.825,22.244499180057872,28.80000000000001,38.41632225375976,11.575562700964634,77.41658187881949,2.3412379421221865,11.66666666666667,False
5354,222.5,65.95493029785158,put,SMCI,248.8,,2023-07-07,6.5,22.244499180057872,26.30000000000001,42.86799908144866,10.570739549839232,75.36949679951181,2.612540192926045,11.940298507462684,False
5355,225.0,65.92441302490235,put,SMCI,248.8,,2023-07-07,7.275,22.244499180057872,23.80000000000001,47.97918358731369,9.56591639871383,73.16550915671411,2.9240353697749195,12.000000000000004,False
5356,227.5,65.39341247558595,put,SMCI,248.8,,2023-07-07,8.025,22.244499180057872,21.30000000000001,52.92549117363469,8.561093247588428,71.034598288969,3.22548231511254,13.253012048192776,False
5382,212.5,64.66710137939454,put,SMCI,248.8,,2023-07-14,5.275,29.244499180057872,36.30000000000001,26.461884167499598,14.59003215434084,80.55392020029097,2.120176848874598,16.36363636363637,False
5383,215.0,64.09948010253908,put,SMCI,248.8,,2023-07-14,5.775,29.244499180057872,33.80000000000001,28.9701196336133,13.585209003215438,78.9515565810763,2.3211414790996785,15.000000000000005,False
5384,217.5,62.63465100097658,put,SMCI,248.8,,2023-07-14,6.25,29.244499180057872,31.30000000000001,31.35294332642132,12.580385852090036,77.58805340203087,2.5120578778135045,21.212121212121204,False
5385,220.0,64.03844555664062,put,SMCI,248.8,,2023-07-14,7.15,29.244499180057872,28.80000000000001,35.86776716542599,11.575562700964634,75.1329993253234,2.8737942122186495,13.513513513513512,False
5386,222.5,63.77599700927734,put,SMCI,248.8,,2023-07-14,7.85,29.244499180057872,26.30000000000001,39.37929681798518,10.570739549839232,73.20024534495965,3.155144694533762,12.345679012345679,False
5387,225.0,63.09851354980469,put,SMCI,248.8,,2023-07-14,8.575,29.244499180057872,23.80000000000001,43.01623824385005,9.56591639871383,71.32712555671924,3.446543408360128,14.606741573033714,False
5388,227.5,62.86047882080079,put,SMCI,248.8,,2023-07-14,9.425,29.244499180057872,21.30000000000001,47.28023853624336,8.561093247588428,69.25168237938041,3.7881832797427655,15.306122448979592,False
5424,220.0,64.85020501708985,put,SMCI,248.8,,2023-07-21,8.725000000000001,36.24449918005787,28.80000000000001,35.31553753032296,11.575562700964634,72.64127764643465,3.506832797427653,3.4090909090909167,False
