,strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee,BidAskSpread
555,120.0,287.50028125,put,MDB,387.79,,2023-06-09,0.0075,3.4177553300810186,267.79,0.2065458878212673,69.05541659145415,99.9987579570004,0.0019340364630341163,100.0
556,130.0,444.53169433593746,put,MDB,387.79,,2023-06-09,1.1025,3.4177553300810186,257.79,30.362245509726293,66.47670130740866,99.4469568610741,0.2843033600660151,100.0
557,150.0,100.0005,put,MDB,387.79,,2023-06-09,0.0,3.4177553300810186,237.79000000000002,0.0,61.31927073931768,100.0,0.0,
558,160.0,50.0005,put,MDB,387.79,,2023-06-09,0.0,3.4177553300810186,227.79000000000002,0.0,58.74055545527219,100.0,0.0,
559,165.0,50.0005,put,MDB,387.79,,2023-06-09,0.0,3.4177553300810186,222.79000000000002,0.0,57.45119781324944,100.0,0.0,
560,170.0,337.3048442382812,put,MDB,387.79,,2023-06-09,0.9975,3.4177553300810186,217.79000000000002,27.47060308022855,56.1618401712267,99.42408660242631,0.2572268495835375,100.0
561,175.0,278.12530468750003,put,MDB,387.79,,2023-06-09,0.30000000000000004,3.4177553300810186,212.79000000000002,8.261835512850693,54.87248252920396,99.84440637046947,0.07736145852136467,100.0
562,180.0,255.07848730468748,put,MDB,387.79,,2023-06-09,0.1875,3.4177553300810186,207.79000000000002,5.1636471955316825,53.583124887181214,99.90628413586697,0.04835091157585291,100.0
563,185.0,298.2424418945312,put,MDB,387.79,,2023-06-09,0.8474999999999999,3.4177553300810186,202.79000000000002,23.339685323803202,52.29376724515847,99.48336807608531,0.21854612032285511,100.0
564,187.5,305.0783623046875,put,MDB,387.79,,2023-06-09,1.1025,3.4177553300810186,200.29000000000002,30.362245509726293,51.649088424147095,99.30833283212694,0.2843033600660151,100.0
565,190.0,293.16432958984376,put,MDB,387.79,,2023-06-09,0.9450000000000001,3.4177553300810186,197.79000000000002,26.024781865479678,51.00440960313573,99.40468375829954,0.24368859434229864,100.0
566,195.0,290.2346494140625,put,MDB,387.79,,2023-06-09,1.1025,3.4177553300810186,192.79000000000002,30.362245509726293,49.715051961112984,99.28135383114548,0.2843033600660151,100.0
567,200.0,211.71922070312496,put,MDB,387.79,,2023-06-09,0.12,3.4177553300810186,187.79000000000002,3.3047342051402766,48.42569431909023,99.93853399906449,0.03094458340854586,100.0
568,205.0,162.50018749999998,put,MDB,387.79,,2023-06-09,0.0075,3.4177553300810186,182.79000000000002,0.2065458878212673,47.13633667706749,99.99748124951722,0.0019340364630341163,100.0
569,210.0,209.76610058593747,put,MDB,387.79,,2023-06-09,0.21000000000000002,3.4177553300810186,177.79000000000002,5.783284858995485,45.84697903504475,99.87432663994977,0.054153020964955265,100.0
570,212.5,217.96920507812496,put,MDB,387.79,,2023-06-09,0.3375,3.4177553300810186,175.29000000000002,9.29456495195703,45.20230021403338,99.78269720159895,0.08703164083653524,100.0
571,215.0,184.76570117187498,put,MDB,387.79,,2023-06-09,0.09,3.4177553300810186,172.79000000000002,2.4785506538552076,44.557621393022,99.9514799728783,0.023208437556409396,100.0
572,217.5,178.125109375,put,MDB,387.79,,2023-06-09,0.07500000000000001,3.4177553300810186,170.29000000000002,2.0654588782126733,43.91294257201063,99.96030117646796,0.019340364630341167,100.0
