,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
13,AMZN230331C00087000,2023-03-24 13:53:45+00:00,87.0,10.65,10.7,11.0,-0.6500006,-5.7522173,8.0,125.0,66.50424121093752,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,10.925,6.548903642951389,-10.239999999999995,626.1822595860081,-10.530645824763468,89.41906938982547,10.580930610174534,11.235088440970795,2.8037383177570163
14,AMZN230331C00088000,2023-03-24 14:06:46+00:00,88.0,9.47,9.65,9.9,-1.0799999,-10.236966,27.0,952.0,59.08244042968751,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,9.8375,6.548903642951389,-9.239999999999995,563.8506158972406,-9.50226244343891,89.64587486194586,10.354125138054144,10.116721513780337,2.5906735751295336
15,AMZN230331C00089000,2023-03-24 13:53:08+00:00,89.0,8.6,8.8,9.0,-1.2999992,-13.131306,46.0,2075.0,58.30119824218749,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,8.95,6.548903642951389,-8.239999999999995,512.9822630018097,-8.473879062114351,87.15695728670048,12.843042713299525,9.204031262854791,2.2727272727272645
16,AMZN230331C00090000,2023-03-24 14:13:34+00:00,90.0,7.92,7.9,8.15,-1.1800003,-12.967035,104.0,5373.0,56.836369140624996,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,8.0875,6.548903642951389,-7.239999999999995,463.54682145554597,-7.4454956807897945,84.52569443829954,15.474305561700461,8.317050596462362,3.1645569620253164
17,AMZN230331C00091000,2023-03-24 14:05:39+00:00,91.0,6.87,7.0,7.25,-1.0300002,-13.037976,7.0,670.0,54.15084912109377,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,7.1875,6.548903642951389,-6.239999999999995,411.9620128855316,-6.417112299465236,81.97369544431385,18.026304555686153,7.391505553270259,3.5714285714285716
18,AMZN230331C00092000,2023-03-24 14:21:51+00:00,92.0,5.89,6.2,6.3,-1.5100002,-20.405409,298.0,797.0,51.61181201171875,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,6.275,6.548903642951389,-5.239999999999995,359.66074864093366,-5.388728918140679,78.85088610687323,21.149113893126767,6.4531057178116,1.6129032258064457
19,AMZN230331C00093000,2023-03-24 14:21:51+00:00,93.0,5.07,5.4,5.5,-1.4099998,-21.759256,361.0,1298.0,50.146982910156254,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,5.475,6.548903642951389,-4.239999999999995,313.80758546758744,-4.36034553681612,74.65644293236153,25.34355706763847,5.630399012751954,1.8518518518518452
20,AMZN230331C00094000,2023-03-24 14:34:26+00:00,94.0,4.65,4.6,4.7,-0.9000001,-16.216217,317.0,3065.0,48.97511962890626,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,4.675,6.548903642951389,-3.239999999999995,267.9544222942414,-3.331962155491562,69.72698564262106,30.27301435737894,4.807692307692308,2.1739130434782727
21,AMZN230331C00095000,2023-03-24 14:33:23+00:00,95.0,3.9,3.85,3.95,-1.0,-20.408163,496.0,3268.0,46.92435888671875,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,3.9250000000000003,6.548903642951389,-2.239999999999995,224.9670818192294,-2.303578774167004,64.45997445680909,35.54002554319091,4.03640477169889,2.5974025974025996
22,AMZN230331C00096000,2023-03-24 14:32:54+00:00,96.0,3.2,3.2,3.25,-0.79999995,-19.999998,1595.0,5069.0,44.97125341796875,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,3.2375,6.548903642951389,-1.2399999999999949,185.5620197171351,-1.2751953928424464,58.43572071697227,41.56427928302773,3.329391197038256,1.5624999999999944
