,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
0,MDB230609C00150000,2023-06-01 19:51:08+00:00,150.0,143.22,234.0,242.0,0.0,0.0,,1.0,514.7952783813478,REGULAR,USD,call,MDB,388.57,2023-06-05 16:45:08.748777,,20230609,2023-06-09,240.0,3.3019820743402777,-238.57,6827.475141473397,-61.39691690042978,97.40499312144723,2.5950068785527662,61.764932959312354,3.3057851239669422
1,MDB230609C00155000,2023-06-05 19:33:22+00:00,155.0,235.19,229.1,237.75,15.320007,6.9677567,1.0,2.0,521.240582824707,REGULAR,USD,call,MDB,388.57,2023-06-05 16:45:08.748777,,20230609,2023-06-09,235.5875,3.3019820743402777,-233.57,6701.9491662161,-60.110147463777444,96.81149725628555,3.1885027437144515,60.62935893146666,3.63827549947424
2,MDB230609C00180000,2023-06-01 15:05:57+00:00,180.0,102.3,204.05,212.95,0.0,0.0,,1.0,450.73285845947265,REGULAR,USD,call,MDB,388.57,2023-06-05 16:45:08.748777,,20230609,2023-06-09,210.725,3.3019820743402777,-208.57,5994.66541327909,-53.67630028051574,96.3670954211103,3.6329045788896934,54.230897907712894,4.179384832120205
3,MDB230609C00185000,2023-06-02 16:51:36+00:00,185.0,189.06,199.5,205.1,0.0,0.0,10.0,10.0,351.26965307617183,REGULAR,USD,call,MDB,388.57,2023-06-05 16:45:08.748777,,20230609,2023-06-09,203.7,3.3019820743402777,-203.57,5794.819526325546,-52.3895308438634,98.68318895573728,1.316811044262721,52.42298684921636,2.7303754266211575
4,MDB230609C00187500,2023-06-01 15:02:10+00:00,187.5,92.15,196.5,204.55,0.0,0.0,,1.0,407.81299023437504,REGULAR,USD,call,MDB,388.57,2023-06-05 16:45:08.748777,,20230609,2023-06-09,202.53750000000002,3.3019820743402777,-201.07,5761.748943609035,-51.74614612553723,96.9853149724821,3.014685027517899,52.1238129551947,3.9354681007088783
5,MDB230609C00197500,2023-06-02 18:49:19+00:00,197.5,178.02,186.55,194.35,0.0,0.0,8.0,8.0,377.53911865234375,REGULAR,USD,call,MDB,388.57,2023-06-05 16:45:08.748777,,20230609,2023-06-09,192.4,3.3019820743402777,-191.07,5473.359238414507,-49.172607252232545,97.02570162995906,2.974298370040941,49.514887922382066,4.013377926421396
6,MDB230609C00200000,2023-05-30 14:39:06+00:00,200.0,90.5,184.0,192.0,0.0,0.0,1.0,1.0,375.24420251464846,REGULAR,USD,call,MDB,388.57,2023-06-05 16:45:08.748777,,20230609,2023-06-09,190.0,3.3019820743402777,-188.57,5405.084486999773,-48.52922253390638,96.861846809314,3.1381531906859976,48.897238592788945,4.166666666666667
7,MDB230609C00205000,2023-06-01 13:44:28+00:00,205.0,77.85,179.1,187.75,0.0,0.0,1.0,2.0,380.468798828125,REGULAR,USD,call,MDB,388.57,2023-06-05 16:45:08.748777,,20230609,2023-06-09,185.5875,3.3019820743402777,-183.57,5279.558511742475,-47.242453097254035,96.13924069387724,3.860759306122759,47.76166456494325,4.607190412782959
8,MDB230609C00210000,2023-06-05 14:58:47+00:00,210.0,176.1,174.05,182.75,5.100006,2.9824598,1.0,4.0,368.31062609863284,REGULAR,USD,call,MDB,388.57,2023-06-05 16:45:08.748777,,20230609,2023-06-09,180.575,3.3019820743402777,-178.57,5136.963848631494,-45.95568366060169,96.05088242955499,3.9491175704450114,46.47167820469928,4.760601915184672
9,MDB230609C00215000,2023-06-01 13:52:16+00:00,215.0,71.3,171.1,175.05,0.0,0.0,,1.0,285.9866131591797,REGULAR,USD,call,MDB,388.57,2023-06-05 16:45:08.748777,,20230609,2023-06-09,174.0625,3.3019820743402777,-173.57,4951.697465886305,-44.66891422394935,98.52140040564893,1.478599594351067,44.79566101345961,2.256498143387613
